cat_id,ps_id,candidate_id,provenance
27,12,CAT27_PS12,Cartesian product of independently thresholded descriptor IDs
27,17,CAT27_PS17,Cartesian product of independently thresholded descriptor IDs
27,18,CAT27_PS18,Cartesian product of independently thresholded descriptor IDs
27,20,CAT27_PS20,Cartesian product of independently thresholded descriptor IDs
27,28,CAT27_PS28,Cartesian product of independently thresholded descriptor IDs
27,33,CAT27_PS33,Cartesian product of independently thresholded descriptor IDs
27,36,CAT27_PS36,Cartesian product of independently thresholded descriptor IDs
27,41,CAT27_PS41,Cartesian product of independently thresholded descriptor IDs
37,1,CAT37_PS1,Cartesian product of independently thresholded descriptor IDs
37,4,CAT37_PS4,Cartesian product of independently thresholded descriptor IDs
37,12,CAT37_PS12,Cartesian product of independently thresholded descriptor IDs
37,17,CAT37_PS17,Cartesian product of independently thresholded descriptor IDs
37,18,CAT37_PS18,Cartesian product of independently thresholded descriptor IDs
37,20,CAT37_PS20,Cartesian product of independently thresholded descriptor IDs
37,28,CAT37_PS28,Cartesian product of independently thresholded descriptor IDs
37,33,CAT37_PS33,Cartesian product of independently thresholded descriptor IDs
37,36,CAT37_PS36,Cartesian product of independently thresholded descriptor IDs
37,41,CAT37_PS41,Cartesian product of independently thresholded descriptor IDs
38,1,CAT38_PS1,Cartesian product of independently thresholded descriptor IDs
38,4,CAT38_PS4,Cartesian product of independently thresholded descriptor IDs
38,12,CAT38_PS12,Cartesian product of independently thresholded descriptor IDs
38,17,CAT38_PS17,Cartesian product of independently thresholded descriptor IDs
38,18,CAT38_PS18,Cartesian product of independently thresholded descriptor IDs
38,20,CAT38_PS20,Cartesian product of independently thresholded descriptor IDs
38,28,CAT38_PS28,Cartesian product of independently thresholded descriptor IDs
38,33,CAT38_PS33,Cartesian product of independently thresholded descriptor IDs
38,36,CAT38_PS36,Cartesian product of independently thresholded descriptor IDs
38,41,CAT38_PS41,Cartesian product of independently thresholded descriptor IDs
39,1,CAT39_PS1,Cartesian product of independently thresholded descriptor IDs
39,4,CAT39_PS4,Cartesian product of independently thresholded descriptor IDs
39,12,CAT39_PS12,Cartesian product of independently thresholded descriptor IDs
39,17,CAT39_PS17,Cartesian product of independently thresholded descriptor IDs
39,18,CAT39_PS18,Cartesian product of independently thresholded descriptor IDs
39,20,CAT39_PS20,Cartesian product of independently thresholded descriptor IDs
39,28,CAT39_PS28,Cartesian product of independently thresholded descriptor IDs
39,33,CAT39_PS33,Cartesian product of independently thresholded descriptor IDs
39,36,CAT39_PS36,Cartesian product of independently thresholded descriptor IDs
39,41,CAT39_PS41,Cartesian product of independently thresholded descriptor IDs
49,1,CAT49_PS1,Cartesian product of independently thresholded descriptor IDs
49,4,CAT49_PS4,Cartesian product of independently thresholded descriptor IDs
49,12,CAT49_PS12,Cartesian product of independently thresholded descriptor IDs
49,17,CAT49_PS17,Cartesian product of independently thresholded descriptor IDs
49,18,CAT49_PS18,Cartesian product of independently thresholded descriptor IDs
49,20,CAT49_PS20,Cartesian product of independently thresholded descriptor IDs
49,28,CAT49_PS28,Cartesian product of independently thresholded descriptor IDs
49,33,CAT49_PS33,Cartesian product of independently thresholded descriptor IDs
49,36,CAT49_PS36,Cartesian product of independently thresholded descriptor IDs
49,41,CAT49_PS41,Cartesian product of independently thresholded descriptor IDs
50,1,CAT50_PS1,Cartesian product of independently thresholded descriptor IDs
50,4,CAT50_PS4,Cartesian product of independently thresholded descriptor IDs
50,12,CAT50_PS12,Cartesian product of independently thresholded descriptor IDs
50,17,CAT50_PS17,Cartesian product of independently thresholded descriptor IDs
50,18,CAT50_PS18,Cartesian product of independently thresholded descriptor IDs
50,20,CAT50_PS20,Cartesian product of independently thresholded descriptor IDs
50,28,CAT50_PS28,Cartesian product of independently thresholded descriptor IDs
50,33,CAT50_PS33,Cartesian product of independently thresholded descriptor IDs
50,36,CAT50_PS36,Cartesian product of independently thresholded descriptor IDs
50,41,CAT50_PS41,Cartesian product of independently thresholded descriptor IDs
51,1,CAT51_PS1,Cartesian product of independently thresholded descriptor IDs
51,4,CAT51_PS4,Cartesian product of independently thresholded descriptor IDs
51,12,CAT51_PS12,Cartesian product of independently thresholded descriptor IDs
51,17,CAT51_PS17,Cartesian product of independently thresholded descriptor IDs
51,18,CAT51_PS18,Cartesian product of independently thresholded descriptor IDs
51,20,CAT51_PS20,Cartesian product of independently thresholded descriptor IDs
51,28,CAT51_PS28,Cartesian product of independently thresholded descriptor IDs
51,33,CAT51_PS33,Cartesian product of independently thresholded descriptor IDs
51,36,CAT51_PS36,Cartesian product of independently thresholded descriptor IDs
51,41,CAT51_PS41,Cartesian product of independently thresholded descriptor IDs
61,1,CAT61_PS1,Cartesian product of independently thresholded descriptor IDs
61,4,CAT61_PS4,Cartesian product of independently thresholded descriptor IDs
61,12,CAT61_PS12,Cartesian product of independently thresholded descriptor IDs
61,17,CAT61_PS17,Cartesian product of independently thresholded descriptor IDs
61,18,CAT61_PS18,Cartesian product of independently thresholded descriptor IDs
61,20,CAT61_PS20,Cartesian product of independently thresholded descriptor IDs
61,28,CAT61_PS28,Cartesian product of independently thresholded descriptor IDs
61,33,CAT61_PS33,Cartesian product of independently thresholded descriptor IDs
61,36,CAT61_PS36,Cartesian product of independently thresholded descriptor IDs
61,41,CAT61_PS41,Cartesian product of independently thresholded descriptor IDs
62,1,CAT62_PS1,Cartesian product of independently thresholded descriptor IDs
62,4,CAT62_PS4,Cartesian product of independently thresholded descriptor IDs
62,12,CAT62_PS12,Cartesian product of independently thresholded descriptor IDs
62,17,CAT62_PS17,Cartesian product of independently thresholded descriptor IDs
62,18,CAT62_PS18,Cartesian product of independently thresholded descriptor IDs
62,20,CAT62_PS20,Cartesian product of independently thresholded descriptor IDs
62,28,CAT62_PS28,Cartesian product of independently thresholded descriptor IDs
62,33,CAT62_PS33,Cartesian product of independently thresholded descriptor IDs
62,36,CAT62_PS36,Cartesian product of independently thresholded descriptor IDs
62,41,CAT62_PS41,Cartesian product of independently thresholded descriptor IDs
63,1,CAT63_PS1,Cartesian product of independently thresholded descriptor IDs
63,4,CAT63_PS4,Cartesian product of independently thresholded descriptor IDs
63,12,CAT63_PS12,Cartesian product of independently thresholded descriptor IDs
63,17,CAT63_PS17,Cartesian product of independently thresholded descriptor IDs
63,18,CAT63_PS18,Cartesian product of independently thresholded descriptor IDs
63,20,CAT63_PS20,Cartesian product of independently thresholded descriptor IDs
63,28,CAT63_PS28,Cartesian product of independently thresholded descriptor IDs
63,33,CAT63_PS33,Cartesian product of independently thresholded descriptor IDs
63,36,CAT63_PS36,Cartesian product of independently thresholded descriptor IDs
63,41,CAT63_PS41,Cartesian product of independently thresholded descriptor IDs
